CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
Vol de véhicule à moteur,2018-09-13,jour,30,294904.159,5047548.921,-73.62677805,45.56777981
Vol de véhicule à moteur,2018-04-30,jour,30,294904.159,5047548.921,-73.62677805,45.56777981
Vol de véhicule à moteur,2018-09-01,nuit,7,290274.565,5042150.474,-73.68592845,45.51912165
Méfait,2017-07-21,jour,21,0,0,1,1
Méfait,2017-07-29,jour,12,0,0,1,1
Vol de véhicule à moteur,2017-07-30,nuit,21,0,0,1,1
Méfait,2017-07-30,jour,38,297654.715,5041877.073,-73.59145727,45.51677617
Vols qualifiés,2017-07-30,jour,21,0,0,1,1
Vol dans / sur véhicule à moteur,2017-08-01,jour,39,294259.781,5051450,-73.6351175,45.60287333
Méfait,2017-08-01,jour,21,0,0,1,1
Vol de véhicule à moteur,2017-08-01,jour,5,285957.556,5033790.677,-73.74086584,45.44379367
Introduction,2018-08-28,soir,7,290274.565,5042150.474,-73.68592845,45.51912165
Introduction,2018-01-10,jour,30,294670.696,5047694.596,-73.62977201,45.56908728
Méfait,2018-11-12,soir,30,294670.696,5047694.596,-73.62977201,45.56908728
Méfait,2018-08-15,jour,30,294670.696,5047694.596,-73.62977201,45.56908728
Introduction,2018-01-11,soir,30,294670.696,5047694.596,-73.62977201,45.56908728
Vol dans / sur véhicule à moteur,2017-08-02,soir,31,0,0,1,1
Vols qualifiés,2017-08-02,soir,21,300149.764,5041903.012,-73.55952174,45.51703069
Introduction,2017-08-03,jour,22,300495.603,5042438.087,-73.5550998,45.52184773
Introduction,2017-08-04,jour,48,302206.204,5050672.094,-73.53324638,45.59594859
Méfait,2017-08-04,nuit,21,0,0,1,1
Vols qualifiés,2017-08-21,nuit,48,0,0,1,1
Méfait,2017-08-21,soir,31,0,0,1,1
Vol de véhicule à moteur,2017-08-22,nuit,21,0,0,1,1
Introduction,2017-08-22,soir,39,294834.485,5050681.073,-73.62773455,45.59596281
Vol dans / sur véhicule à moteur,2017-08-23,nuit,21,0,0,1,1
Vols qualifiés,2017-08-23,nuit,21,0,0,1,1
Méfait,2017-08-23,jour,12,298266.06,5038914.047,-73.58359279,45.49011962
Introduction,2018-01-10,soir,30,294670.696,5047694.596,-73.62977201,45.56908728
Introduction,2018-01-10,jour,30,294670.696,5047694.596,-73.62977201,45.56908728
Introduction,2018-01-08,jour,30,294670.696,5047694.596,-73.62977201,45.56908728
Introduction,2018-09-14,soir,30,294670.696,5047694.596,-73.62977201,45.56908728
Méfait,2018-10-16,jour,8,292010.969,5032898,-73.66346133,45.43589788
Vol dans / sur véhicule à moteur,2018-09-05,jour,38,297929.907,5042565.579,-73.58794455,45.52297439
Vol dans / sur véhicule à moteur,2017-08-25,jour,22,300675.216,5042710.099,-73.55280289,45.52429648
Introduction,2017-08-25,soir,16,301261.624,5036460.927,-73.54525101,45.46806692
Introduction,2017-09-09,soir,39,294259.781,5051450,-73.6351175,45.60287333
Introduction,2017-09-10,soir,35,297269.069,5044288.756,-73.59643047,45.53847335
Introduction,2018-02-17,jour,21,300632,5041020,-73.55334175,45.50908803
Vol dans / sur véhicule à moteur,2018-10-28,jour,21,300632,5041020,-73.55334175,45.50908803
Introduction,2017-09-11,jour,39,293808.438,5049462.5,-73.6408586,45.58498231
Méfait,2017-09-09,jour,38,0,0,1,1
Vol dans / sur véhicule à moteur,2017-09-11,soir,7,290109.1,5042399.839,-73.6880539,45.52136205
Introduction,2017-09-13,nuit,21,300166.671,5041928.882,-73.55930558,45.51726359
Vol dans / sur véhicule à moteur,2017-09-12,jour,31,295933.862,5045137.958,-73.6135426,45.54609906
Méfait,2017-09-13,jour,7,291073.469,5041533.5,-73.6756851,45.51358607
Vol dans / sur véhicule à moteur,2017-09-14,jour,44,299537.391,5048547.431,-73.56743139,45.57681517
